,Total population,Hispanic or Latino,"Total population, not Hispanic or Latino",One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races
"Block 1003, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1004, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1005, Block Group 1, Census Tract 105, San Francisco County, California",1,1,0,1,0,0,0,0,0,1,0
"Block 1006, Block Group 1, Census Tract 105, San Francisco County, California",262,9,253,254,208,1,0,43,0,2,8
"Block 1007, Block Group 1, Census Tract 105, San Francisco County, California",242,9,233,240,188,3,0,45,0,4,2
"Block 1008, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1009, Block Group 1, Census Tract 105, San Francisco County, California",1,1,0,1,1,0,0,0,0,0,0
"Block 1010, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1011, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1012, Block Group 1, Census Tract 105, San Francisco County, California",1,0,1,1,1,0,0,0,0,0,0
"Block 1013, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1014, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1015, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1016, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1017, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1018, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1019, Block Group 1, Census Tract 105, San Francisco County, California",1,0,1,1,1,0,0,0,0,0,0
"Block 1020, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1021, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1022, Block Group 1, Census Tract 105, San Francisco County, California",257,33,224,250,27,5,0,207,0,11,7
"Block 1023, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1024, Block Group 1, Census Tract 105, San Francisco County, California",32,6,26,30,23,3,0,2,0,2,2
"Block 1025, Block Group 1, Census Tract 105, San Francisco County, California",147,12,135,145,72,5,0,65,0,3,2
"Block 1026, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1027, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 2000, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 2001, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 2002, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 2003, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 2004, Block Group 2, Census Tract 105, San Francisco County, California",145,6,139,142,103,2,0,37,0,0,3
"Block 2005, Block Group 2, Census Tract 105, San Francisco County, California",57,0,57,57,37,0,0,20,0,0,0
"Block 2006, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 2007, Block Group 2, Census Tract 105, San Francisco County, California",2,0,2,2,2,0,0,0,0,0,0
"Block 2008, Block Group 2, Census Tract 105, San Francisco County, California",461,25,436,449,321,13,0,111,0,4,12
"Block 2009, Block Group 2, Census Tract 105, San Francisco County, California",21,5,16,21,15,0,0,5,1,0,0
"Block 2010, Block Group 2, Census Tract 105, San Francisco County, California",1,0,1,1,0,1,0,0,0,0,0
"Block 2011, Block Group 2, Census Tract 105, San Francisco County, California",2,0,2,2,1,0,0,1,0,0,0
"Block 2012, Block Group 2, Census Tract 105, San Francisco County, California",1037,47,990,1014,746,12,2,241,0,13,23
"Block 2013, Block Group 2, Census Tract 105, San Francisco County, California",1,0,1,1,1,0,0,0,0,0,0
"Block 2014, Block Group 2, Census Tract 105, San Francisco County, California",1,0,1,1,1,0,0,0,0,0,0
"Block 2015, Block Group 2, Census Tract 105, San Francisco County, California",3,0,3,3,2,0,0,0,1,0,0
"Block 2016, Block Group 2, Census Tract 105, San Francisco County, California",2,0,2,2,1,0,0,1,0,0,0
"Block 2017, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 2018, Block Group 2, Census Tract 105, San Francisco County, California",6,1,5,6,4,1,1,0,0,0,0
"Block 2019, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 2020, Block Group 2, Census Tract 105, San Francisco County, California",2,0,2,1,1,0,0,0,0,0,1
"Block 2021, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1000, Block Group 1, Census Tract 106, San Francisco County, California",78,3,75,76,65,1,1,8,0,1,2
